X(mm),Y(mm)
1000,0
950.23,8.81
900.49,17.39
850.7,26.18
800.84,34.92
750.89,43.44
700.87,51.53
650.76,58.99
600.57,65.62
550.31,71.25
500,75.67
449.64,78.94
399.24,80.62
348.82,80.59
298.4,78.72
248,74.99
197.65,69.29
147.35,61.38
97.18,50.63
72.18,43.79
47.27,35.44
22.57,24.6
10.41,17.19
5.67,13.2
3.36,10.71
0,0
6.64,-8.71
9.33,-10.4
14.59,-12.91
27.43,-17.16
52.73,-22.8
77.82,-26.85
102.82,-29.95
152.65,-34.46
202.35,-37.45
252,-39.19
301.6,-39.84
351.118,-39.39
400.76,-37.78
450.35,-35.14
500,-31.64
549.69,-27.45
599.43,-22.78
649.24,-17.99
699.13,-12.65
749.11,-7.64
799.16,-3.08
849.3,0.74
899.51,3.29
949.77,3.3
1000,0
