Ignoring fixed x limits to fulfill fixed data aspect with adjustable data limits.
Iteration 0, Error: 0.047769479009911436
Iteration 1, Error: 0.02258782681790846
Iteration 2, Error: 0.022242115475363457
Iteration 3, Error: 0.01619381410863996
Iteration 4, Error: 0.0157861014660898
Iteration 5, Error: 0.013365709249251623
Iteration 6, Error: 0.01286662706754571
Iteration 7, Error: 0.012030996290268492
Iteration 8, Error: 0.01168670092013957
Iteration 9, Error: 0.011411479813449477
Iteration 10, Error: 0.011190231533849682
Iteration 11, Error: 0.010994290204089596
Iteration 12, Error: 0.010820202448355909
Iteration 13, Error: 0.010665708276047736
Iteration 14, Error: 0.01052008097116941
Iteration 15, Error: 0.010389651677640055
Iteration 16, Error: 0.010274568206714685
Iteration 17, Error: 0.010169410221379627
Iteration 18, Error: 0.010070757938877684
Iteration 19, Error: 0.009980680384243934
Iteration 20, Error: 0.00989324986391349
Iteration 21, Error: 0.009813853484152535
Iteration 22, Error: 0.009731718295787228
Iteration 23, Error: 0.009662910279028214
Iteration 24, Error: 0.009599704643454832
Iteration 25, Error: 0.009534316588605485
Iteration 26, Error: 0.009476192776569636
Iteration 27, Error: 0.00941298009546121
Iteration 28, Error: 0.009360804164932235
Iteration 29, Error: 0.009301367559274354
Iteration 30, Error: 0.009253603884396
Iteration 31, Error: 0.009206084782291235
Iteration 32, Error: 0.009157822152041195
Iteration 33, Error: 0.009117313670802929
Iteration 34, Error: 0.009069384062561081
Iteration 35, Error: 0.009030907524754106
Iteration 36, Error: 0.008982940424125285
Iteration 37, Error: 0.008946263411280242
Iteration 38, Error: 0.008902788918256022
Iteration 39, Error: 0.008866599307500334
Iteration 40, Error: 0.008835489699458243
Iteration 41, Error: 0.008797633910467617
Iteration 42, Error: 0.008768902396922407
Iteration 43, Error: 0.008730567503874909
Iteration 44, Error: 0.00870277072110115
Iteration 45, Error: 0.008663847892102616
Iteration 46, Error: 0.008636896362864466
Iteration 47, Error: 0.008602501773095739
Iteration 48, Error: 0.008571129751126616
Iteration 49, Error: 0.00854791610572514
Iteration 50, Error: 0.008516798789777624
Iteration 51, Error: 0.008495290852307935
Iteration 52, Error: 0.008463540803637315
Iteration 53, Error: 0.008442447822175403
Iteration 54, Error: 0.008410054875322981
Iteration 55, Error: 0.008389330620982793
Iteration 56, Error: 0.00836064705186601
Iteration 57, Error: 0.008335904097668045
Iteration 58, Error: 0.00831565823862812
Iteration 59, Error: 0.008288459995002828
Iteration 60, Error: 0.008270316847052595
Iteration 61, Error: 0.00824259402894878
Iteration 62, Error: 0.008225982316757197
Iteration 63, Error: 0.00819882229420843
Iteration 64, Error: 0.008182398506474176
Iteration 65, Error: 0.00815631308526843
Iteration 66, Error: 0.008138364539057807
Iteration 67, Error: 0.008119539860535596
Iteration 68, Error: 0.00809673640103048
Iteration 69, Error: 0.008082298266950616
Iteration 70, Error: 0.008059038156619902
Iteration 71, Error: 0.008044598649302515
Iteration 72, Error: 0.008020910087807032
Iteration 73, Error: 0.008006456193969669
Iteration 74, Error: 0.00798237079834907
Iteration 75, Error: 0.007967890074588091
Iteration 76, Error: 0.007947909080840532
Iteration 77, Error: 0.007930133220042102
